SEASON,FPI_DATE,TEAM,FPI,FPI_RANK
2005,1/5/2006 4:00,Air Force,-1.849909279,73
2005,1/5/2006 4:00,Akron,-8.714571861,92
2005,1/5/2006 4:00,Alabama,14.27415436,16
2005,1/5/2006 4:00,Arizona,4.934474755,44
2005,1/5/2006 4:00,Arizona State,14.2399263,17
2005,1/5/2006 4:00,Arkansas,6.10547458,41
2005,1/5/2006 4:00,Arkansas State,-13.85515085,103
2005,1/5/2006 4:00,Army,-10.786298,96
2005,1/5/2006 4:00,Auburn,16.79830009,10
2005,1/5/2006 4:00,Ball State,-15.06306889,104
2005,1/5/2006 4:00,Baylor,-3.011964944,76
2005,1/5/2006 4:00,Boise State,6.798205788,38
2005,1/5/2006 4:00,Boston College,11.88029275,23
2005,1/5/2006 4:00,Bowling Green,-1.285502915,69
2005,1/5/2006 4:00,Brigham Young,4.380371864,46
2005,1/5/2006 4:00,Buffalo,-23.3830447,118
2005,1/5/2006 4:00,California,14.02273383,19
2005,1/5/2006 4:00,Central Michigan,-7.511733341,90
2005,1/5/2006 4:00,Cincinnati,-10.26208141,95
2005,1/5/2006 4:00,Clemson,10.6234914,27
2005,1/5/2006 4:00,Colorado,6.311930213,40
2005,1/5/2006 4:00,Colorado State,-3.216631571,78
2005,1/5/2006 4:00,Connecticut,0.963364522,63
2005,1/5/2006 4:00,Duke,-13.22872442,102
2005,1/5/2006 4:00,East Carolina,-6.791773588,88
2005,1/5/2006 4:00,Eastern Michigan,-12.37137438,100
2005,1/5/2006 4:00,Florida,15.06220262,15
2005,1/5/2006 4:00,Florida Atlantic,-21.92265314,115
2005,1/5/2006 4:00,Florida International,-17.42517996,112
2005,1/5/2006 4:00,Florida State,11.89849307,22
2005,1/5/2006 4:00,Fresno State,10.18569025,29
2005,1/5/2006 4:00,Georgia,16.91647709,9
2005,1/5/2006 4:00,Georgia Tech,6.708675075,39
2005,1/5/2006 4:00,Hawaii,-6.604472689,87
2005,1/5/2006 4:00,Houston,-3.194386125,77
2005,1/5/2006 4:00,Idaho,-18.77895232,114
2005,1/5/2006 4:00,Illinois,-11.02170036,97
2005,1/5/2006 4:00,Indiana,-6.594822822,86
2005,1/5/2006 4:00,Iowa,14.05489056,18
